yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.09 (221) 00:00:00  NaN     NaN     NaN  
2017.08.09 (221) 00:05:00  NaN     NaN     NaN  
2017.08.09 (221) 00:10:00  NaN     NaN     NaN  
2017.08.09 (221) 00:15:00  NaN     NaN     NaN  
2017.08.09 (221) 00:20:00  NaN     NaN     NaN  
2017.08.09 (221) 00:25:00  NaN     NaN     NaN  
2017.08.09 (221) 00:30:00  NaN     NaN     NaN  
2017.08.09 (221) 00:35:00  NaN     NaN     NaN  
2017.08.09 (221) 00:40:00  NaN     NaN     NaN  
2017.08.09 (221) 00:45:00  NaN     NaN     NaN  
2017.08.09 (221) 00:50:00  NaN     NaN     NaN  
2017.08.09 (221) 00:55:00  NaN     NaN     NaN  
2017.08.09 (221) 01:00:00  NaN     NaN     NaN  
2017.08.09 (221) 01:05:00  NaN     NaN     NaN  
2017.08.09 (221) 01:10:00  NaN     NaN     NaN  
2017.08.09 (221) 01:15:00  NaN     NaN     NaN  
2017.08.09 (221) 01:20:00  NaN     NaN     NaN  
2017.08.09 (221) 01:25:00  NaN     NaN     NaN  
2017.08.09 (221) 01:30:00  NaN     NaN     NaN  
2017.08.09 (221) 01:35:00  NaN     NaN     NaN  
2017.08.09 (221) 01:40:00  NaN     NaN     NaN  
2017.08.09 (221) 01:45:00  NaN     NaN     NaN  
2017.08.09 (221) 01:50:00  NaN     NaN     NaN  
2017.08.09 (221) 01:55:00  2.100   253.0   268.0
2017.08.09 (221) 02:00:00  NaN     NaN     NaN  
2017.08.09 (221) 02:05:00  NaN     NaN     NaN  
2017.08.09 (221) 02:10:00  NaN     NaN     NaN  
2017.08.09 (221) 02:15:00  NaN     NaN     NaN  
2017.08.09 (221) 02:20:00  NaN     NaN     NaN  
2017.08.09 (221) 02:25:00  NaN     NaN     NaN  
2017.08.09 (221) 02:30:00  NaN     NaN     NaN  
2017.08.09 (221) 02:35:00  NaN     NaN     NaN  
2017.08.09 (221) 02:40:00  NaN     NaN     NaN  
2017.08.09 (221) 02:45:00  NaN     NaN     NaN  
2017.08.09 (221) 02:50:00  NaN     NaN     NaN  
2017.08.09 (221) 02:55:00  NaN     NaN     NaN  
2017.08.09 (221) 03:00:00  NaN     NaN     NaN  
2017.08.09 (221) 03:05:00  NaN     NaN     NaN  
2017.08.09 (221) 03:10:00  NaN     NaN     NaN  
2017.08.09 (221) 03:15:00  NaN     NaN     NaN  
2017.08.09 (221) 03:20:00  NaN     NaN     NaN  
2017.08.09 (221) 03:25:00  NaN     NaN     NaN  
2017.08.09 (221) 03:30:00  NaN     NaN     NaN  
2017.08.09 (221) 03:35:00  NaN     NaN     NaN  
2017.08.09 (221) 03:40:00  NaN     NaN     NaN  
2017.08.09 (221) 03:45:00  NaN     NaN     NaN  
2017.08.09 (221) 03:50:00  NaN     NaN     NaN  
2017.08.09 (221) 03:55:00  NaN     NaN     NaN  
2017.08.09 (221) 04:00:00  NaN     NaN     NaN  
2017.08.09 (221) 04:05:00  NaN     NaN     NaN  
2017.08.09 (221) 04:10:00  NaN     NaN     NaN  
2017.08.09 (221) 04:15:00  NaN     NaN     NaN  
2017.08.09 (221) 04:20:00  NaN     NaN     NaN  
2017.08.09 (221) 04:25:00  2.200   242.0   256.0
2017.08.09 (221) 04:30:00  2.200   239.0   257.0
2017.08.09 (221) 04:35:00  NaN     NaN     NaN  
2017.08.09 (221) 04:40:00  NaN     NaN     NaN  
2017.08.09 (221) 04:45:00  2.200   225.0   242.0
2017.08.09 (221) 04:50:00  2.100   230.0   247.0
2017.08.09 (221) 04:55:00  NaN     NaN     NaN  
2017.08.09 (221) 05:00:00  NaN     NaN     NaN  
2017.08.09 (221) 05:05:00  NaN     NaN     NaN  
2017.08.09 (221) 05:10:00  NaN     NaN     NaN  
2017.08.09 (221) 05:15:00  2.100   224.0   238.0
2017.08.09 (221) 05:20:00  NaN     NaN     NaN  
2017.08.09 (221) 05:25:00  NaN     NaN     NaN  
2017.08.09 (221) 05:30:00  NaN     NaN     NaN  
2017.08.09 (221) 05:35:00  NaN     NaN     NaN  
2017.08.09 (221) 05:40:00  NaN     NaN     NaN  
2017.08.09 (221) 05:45:00  NaN     NaN     NaN  
2017.08.09 (221) 05:50:00  NaN     NaN     NaN  
2017.08.09 (221) 05:55:00  NaN     NaN     NaN  
2017.08.09 (221) 06:00:00  NaN     NaN     NaN  
2017.08.09 (221) 06:05:00  NaN     NaN     NaN  
2017.08.09 (221) 06:10:00  NaN     NaN     NaN  
2017.08.09 (221) 06:15:00  NaN     NaN     NaN  
2017.08.09 (221) 06:20:00  NaN     NaN     NaN  
2017.08.09 (221) 06:25:00  NaN     NaN     NaN  
2017.08.09 (221) 06:30:00  NaN     NaN     NaN  
2017.08.09 (221) 06:35:00  NaN     NaN     NaN  
2017.08.09 (221) 06:40:00  NaN     NaN     NaN  
2017.08.09 (221) 06:45:00  NaN     NaN     NaN  
2017.08.09 (221) 06:50:00  NaN     NaN     NaN  
2017.08.09 (221) 06:55:00  NaN     NaN     NaN  
2017.08.09 (221) 07:00:00  NaN     NaN     NaN  
2017.08.09 (221) 07:05:00  NaN     NaN     NaN  
2017.08.09 (221) 07:10:00  NaN     NaN     NaN  
2017.08.09 (221) 07:15:00  NaN     NaN     NaN  
2017.08.09 (221) 07:20:00  NaN     NaN     NaN  
2017.08.09 (221) 07:25:00  NaN     NaN     NaN  
2017.08.09 (221) 07:30:00  NaN     NaN     NaN  
2017.08.09 (221) 07:35:00  NaN     NaN     NaN  
2017.08.09 (221) 07:40:00  NaN     NaN     NaN  
2017.08.09 (221) 07:45:00  NaN     NaN     NaN  
2017.08.09 (221) 07:50:00  NaN     NaN     NaN  
2017.08.09 (221) 07:55:00  NaN     NaN     NaN  
2017.08.09 (221) 08:00:00  NaN     NaN     NaN  
2017.08.09 (221) 08:05:00  NaN     NaN     NaN  
2017.08.09 (221) 08:10:00  NaN     NaN     NaN  
2017.08.09 (221) 08:15:00  NaN     NaN     NaN  
2017.08.09 (221) 08:20:00  NaN     NaN     NaN  
2017.08.09 (221) 08:25:00  NaN     NaN     NaN  
2017.08.09 (221) 08:30:00  NaN     NaN     NaN  
